ComicType,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year,APPEARANCES_R,,,
dc,369292,Dax-Am (New Earth),\/wiki\/Dax-Am_(New_Earth),Public Identity,Neutral Characters,Black Eyes,Blond Hair,Male Characters,straight,Living Characters,1,"2009, October",2009,0.0009653628,,,
dc,368757,Xenon (New Earth),\/wiki\/Xenon_(New_Earth),Secret Identity,Bad Characters,Red Eyes,White Hair,Male Characters,straight,Living Characters,3,"2003, February",2003,0.0028960884,,,
dc,367192,Sirius (New Earth),\/wiki\/Sirius_(New_Earth),Secret Identity,Neutral Characters,Yellow Eyes,Red Hair,Male Characters,straight,Living Characters,1,"2001, March",2001,0.0009653628,,,
dc,365439,Xanthi (New Earth),\/wiki\/Xanthi_(New_Earth),Secret Identity,Neutral Characters,Black Eyes,White Hair,Male Characters,straight,Deceased Characters,5,"1989, January",1989,0.0048268139,,,
dc,365361,Athyns (New Earth),\/wiki\/Athyns_(New_Earth),Secret Identity,Neutral Characters,Brown Eyes,Blue Hair,Male Characters,straight,Living Characters,9,"1989, January",1989,0.0086882651,,,
dc,365358,Sparta (New Earth),\/wiki\/Sparta_(New_Earth),Secret Identity,Neutral Characters,Red Eyes,Orange Hair,Female Characters,straight,Deceased Characters,8,"1989, January",1989,0.0077229023,,,
dc,364623,Ranakar (New Earth),\/wiki\/Ranakar_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,1,"1983, August",1983,0.0009653628,,,
dc,364618,Dennap (New Earth),\/wiki\/Dennap_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,straight,Living Characters,1,"2003, November",2003,0.0009653628,,,
dc,364514,Mother Zed (New Earth),\/wiki\/Mother_Zed_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Deceased Characters,1,"2006, December",2006,0.0009653628,,,
dc,363566,Darthartheen (New Earth),\/wiki\/Darthartheen_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,1,1992,1992,0.0009653628,,,
dc,363556,Thwarcharchura (New Earth),\/wiki\/Thwarcharchura_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,1,1992,1992,0.0009653628,,,
dc,363551,Dawlakispokpok (New Earth),\/wiki\/Dawlakispokpok_(New_Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,straight,Deceased Characters,1,1992,1992,0.0009653628,,,
dc,361919,Rrall (New Earth),\/wiki\/Rrall_(New_Earth),Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,straight,Living Characters,1,"1999, November",1999,0.0009653628,,,
dc,361915,Echielias (New Earth),\/wiki\/Echielias_(New_Earth),Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,straight,Living Characters,1,"1999, November",1999,0.0009653628,,,
dc,359279,Cleveden Forbes (New Earth),\/wiki\/Cleveden_Forbes_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,6,"1996, October",1996,0.0057921767,,,
dc,359262,Joy Page (New Earth),\/wiki\/Joy_Page_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,6,"1996, September",1996,0.0057921767,,,
dc,353860,Orunmilla (New Earth),\/wiki\/Orunmilla_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,2,"1997, October",1997,0.0019307256,,,
dc,353843,Mawu (New Earth),\/wiki\/Mawu_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,1,"1997, October",1997,0.0009653628,,,
dc,353050,Sarah Moss (New Earth),\/wiki\/Sarah_Moss_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,4,"1989, January",1989,0.0038614511,,,
dc,353049,Roger Richter (New Earth),\/wiki\/Roger_Richter_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,3,"1989, January",1989,0.0028960884,,,
dc,353047,Marie Saloppe (New Earth),\/wiki\/Marie_Saloppe_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,straight,Living Characters,2,"1989, January",1989,0.0019307256,,,
dc,353044,Albert Tyler (New Earth),\/wiki\/Albert_Tyler_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,3,"1989, January",1989,0.0028960884,,,
dc,351851,Voss (New Earth),\/wiki\/Voss_(New_Earth),Public Identity,Good Characters,Red Eyes,Black Hair,Male Characters,straight,Living Characters,6,"1983, October",1983,0.0057921767,,,
dc,351687,Taren (New Earth),\/wiki\/Taren_(New_Earth),Public Identity,Good Characters,Red Eyes,Red Hair,Male Characters,straight,Deceased Characters,3,"1983, September",1983,0.0028960884,,,
dc,351618,Jose Ramirez (New Earth),\/wiki\/Jose_Ramirez_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,4,"1984, February",1984,0.0038614511,,,
dc,348741,Kevin Mayer (New Earth),\/wiki\/Kevin_Mayer_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,3,1988,1988,0.0028960884,,,
dc,346636,Jonathan Stone (New Earth),\/wiki\/Jonathan_Stone_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,9,"2005, August",2005,0.0086882651,,,
dc,345910,Lattea (New Earth),\/wiki\/Lattea_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Deceased Characters,1,"2011, March",2011,0.0009653628,,,
dc,345874,Alera (New Earth),\/wiki\/Alera_(New_Earth),Public Identity,Good Characters,Green Eyes,White Hair,Female Characters,straight,Living Characters,2,"2010, October",2010,0.0019307256,,,
dc,345831,Persephone II (New Earth),\/wiki\/Persephone_II_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,straight,Living Characters,3,"2009, August",2009,0.0028960884,,,
dc,345114,Georgia Redmond (New Earth),\/wiki\/Georgia_Redmond_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,5,"1997, December",1997,0.0048268139,,,
dc,344583,Angelica Wallis (New Earth),\/wiki\/Angelica_Wallis_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,5,"1996, November",1996,0.0048268139,,,
dc,344292,Julianna Hut\u00f6ff (New Earth),\/wiki\/Julianna_Hut%C3%B6ff_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,straight,Deceased Characters,10,"1994, March",1994,0.0096536278,,,
dc,344284,Cassandra Arnold (New Earth),\/wiki\/Cassandra_Arnold_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,9,1992,1992,0.0086882651,,,
dc,344165,Hoppy Greene (New Earth),\/wiki\/Hoppy_Greene_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,8,"1993, April",1993,0.0077229023,,,
dc,344104,Diana Rockwell (New Earth),\/wiki\/Diana_Rockwell_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Deceased Characters,12,"1987, December",1987,0.0115843534,,,
dc,343967,Lucy Spears (New Earth),\/wiki\/Lucy_Spears_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Deceased Characters,11,"1988, November",1988,0.0106189906,,,
dc,343934,Rovo Quashi (New Earth),\/wiki\/Rovo_Quashi_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,10,"1989, December",1989,0.0096536278,,,
dc,343931,Maritza Nitumbe (New Earth),\/wiki\/Maritza_Nitumbe_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,6,"1989, December",1989,0.0057921767,,,
dc,343930,Lin Koo Teng (New Earth),\/wiki\/Lin_Koo_Teng_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,9,"1989, December",1989,0.0086882651,,,
dc,343928,Felix Zumac (New Earth),\/wiki\/Felix_Zumac_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,7,"1989, December",1989,0.0067575395,,,
dc,343896,Horace Westlake (New Earth),\/wiki\/Horace_Westlake_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,10,"1988, November",1988,0.0096536278,,,
dc,343750,Michael Shands (New Earth),\/wiki\/Michael_Shands_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Deceased Characters,13,"1988, May",1988,0.0125497162,,,
dc,343552,Magala (New Earth),\/wiki\/Magala_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Deceased Characters,17,"1997, August",1997,0.0164111673,,,
dc,343379,Laethwen (New Earth),\/wiki\/Laethwen_(New_Earth),Public Identity,Good Characters,Red Eyes,Red Hair,Female Characters,straight,Deceased Characters,11,"1983, September",1983,0.0106189906,,,
dc,342348,Keng Quan Chee (New Earth),\/wiki\/Keng_Quan_Chee_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,4,"1988, November",1988,0.0038614511,,,
dc,342157,Stanga (New Earth),\/wiki\/Stanga_(New_Earth),Public Identity,Good Characters,Black Eyes,White Hair,Male Characters,straight,Living Characters,1,"1972, March",1972,0.0009653628,,,
dc,342104,Adam Winterbourne (New Earth),\/wiki\/Adam_Winterbourne_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,13,"1998, June",1998,0.0125497162,,,
dc,341989,Catherine Hamilton (New Earth),\/wiki\/Catherine_Hamilton_(New_Earth),Public Identity,Neutral Characters,Green Eyes,Brown Hair,Female Characters,straight,Living Characters,2,"2009, October",2009,0.0019307256,,,
dc,341608,Simon Burton (New Earth),\/wiki\/Simon_Burton_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Deceased Characters,7,"2002, December",2002,0.0067575395,,,
dc,341589,Sylvia Sinclair (New Earth),\/wiki\/Sylvia_Sinclair_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,straight,Deceased Characters,6,"2002, December",2002,0.0057921767,,,
dc,341534,Annie Bonelli (New Earth),\/wiki\/Annie_Bonelli_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,straight,Living Characters,18,"1993, May",1993,0.0173765301,,,
dc,338033,Lady Aquamarine (New Earth),\/wiki\/Lady_Aquamarine_(New_Earth),Public Identity,Bad Characters,Black Eyes,Grey Hair,Female Characters,straight,Living Characters,1,"1985, March",1985,0.0009653628,,,
dc,337485,Prince Ruby (New Earth),\/wiki\/Prince_Ruby_(New_Earth),Public Identity,Good Characters,Red Eyes,Red Hair,Male Characters,straight,Living Characters,2,"1985, July",1985,0.0019307256,,,
dc,337327,White Opal (New Earth),\/wiki\/White_Opal_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,7,"1985, August",1985,0.0067575395,,,
dc,337315,Prince Garnet (New Earth),\/wiki\/Prince_Garnet_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,9,"1985, April",1985,0.0086882651,,,
dc,337300,Lord Amethyst (New Earth),\/wiki\/Lord_Amethyst_(New_Earth),Public Identity,Good Characters,Yellow Eyes,Blond Hair,Male Characters,straight,Deceased Characters,7,"1983, May",1983,0.0067575395,,,
dc,337293,Lady Amethyst (New Earth),\/wiki\/Lady_Amethyst_(New_Earth),Public Identity,Good Characters,Violet Eyes,Blond Hair,Female Characters,straight,Deceased Characters,9,"1983, May",1983,0.0086882651,,,
dc,337190,Lord Topaz (New Earth),\/wiki\/Lord_Topaz_(New_Earth),Public Identity,Good Characters,Yellow Eyes,White Hair,Male Characters,straight,Deceased Characters,4,"1983, August",1983,0.0038614511,,,
dc,337171,Rita Beckman (New Earth),\/wiki\/Rita_Beckman_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,13,"1983, July",1983,0.0125497162,,,
dc,337166,Lord Ruby (New Earth),\/wiki\/Lord_Ruby_(New_Earth),Public Identity,Good Characters,Red Eyes,White Hair,Male Characters,straight,Living Characters,5,"1983, December",1983,0.0048268139,,,
dc,337065,Princess Topaz (New Earth),\/wiki\/Princess_Topaz_(New_Earth),Public Identity,Neutral Characters,Yellow Eyes,Black Hair,Female Characters,straight,Living Characters,6,"1983, August",1983,0.0057921767,,,
dc,337060,Lady Sapphire (New Earth),\/wiki\/Lady_Sapphire_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,11,"1983, September",1983,0.0106189906,,,
dc,337052,Lord Garnet (New Earth),\/wiki\/Lord_Garnet_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,26,"1983, October",1983,0.0250994324,,,
dc,337002,Carl Nelligan (New Earth),\/wiki\/Carl_Nelligan_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,25,"1983, April",1983,0.0241340696,,,
dc,336933,Lady Turquoise (New Earth),\/wiki\/Lady_Turquoise_(New_Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,straight,Living Characters,25,"1983, November",1983,0.0241340696,,,
dc,336900,Prince Topaz (New Earth),\/wiki\/Prince_Topaz_(New_Earth),Public Identity,Good Characters,Yellow Eyes,Blond Hair,Male Characters,straight,Living Characters,32,"1983, August",1983,0.0308916091,,,
dc,335024,Paula Holt (New Earth),\/wiki\/Paula_Holt_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Deceased Characters,3,"1997, June",1997,0.0028960884,,,
dc,334419,Leona Pierce (New Earth),\/wiki\/Leona_Pierce_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,5,"1978, January",1978,0.0048268139,,,
dc,334411,Frank Tanner (New Earth),\/wiki\/Frank_Tanner_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,10,"1977, July",1977,0.0096536278,,,
dc,334406,Alvin Pierce (New Earth),\/wiki\/Alvin_Pierce_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Deceased Characters,1,"1978, January",1978,0.0009653628,,,
dc,332809,Kamah (New Earth),\/wiki\/Kamah_(New_Earth),Public Identity,Bad Characters,Red Eyes,Orange Hair,Female Characters,straight,Deceased Characters,6,"1984, October",1984,0.0057921767,,,
dc,332256,Bruce Wayne Clone (New Earth),\/wiki\/Bruce_Wayne_Clone_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Deceased Characters,18,"2009, January",2009,0.0173765301,,,
dc,332077,Kyesha Salton (New Earth),\/wiki\/Kyesha_Salton_(New_Earth),Public Identity,Good Characters,Brown Eyes,Orange Hair,Female Characters,straight,Living Characters,6,"2007, July",2007,0.0057921767,,,
dc,332071,Synn (New Earth),\/wiki\/Synn_(New_Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Female Characters,straight,Living Characters,11,"1984, December",1984,0.0106189906,,,
dc,327940,James Harper Clone (New Earth),\/wiki\/James_Harper_Clone_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,176,"1971, January",1971,0.1699038499,,,
dc,321378,Mister Finish (New Earth),\/wiki\/Mister_Finish_(New_Earth),Secret Identity,Bad Characters,Red Eyes,Brown Hair,Male Characters,straight,Living Characters,1,"1997, September",1997,0.0009653628,,,
dc,320810,Sigourney Amundsen (New Earth),\/wiki\/Sigourney_Amundsen_(New_Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,straight,Living Characters,4,"2004, December",2004,0.0038614511,,,
dc,320807,Henry Kucharski (New Earth),\/wiki\/Henry_Kucharski_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,2,"2004, December",2004,0.0019307256,,,
dc,319297,Bethany Snow (New Earth),\/wiki\/Bethany_Snow_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,straight,Living Characters,21,"1982, August",1982,0.0202726185,,,
dc,315434,David Mancini (New Earth),\/wiki\/David_Mancini_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,1,1997,1997,0.0009653628,,,
dc,314572,Viro (New Earth),\/wiki\/Viro_(New_Earth),Public Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,straight,Deceased Characters,2,"1990, May",1990,0.0019307256,,,
dc,314446,Gulacia (New Earth),\/wiki\/Gulacia_(New_Earth),Public Identity,Neutral Characters,Hazel Eyes,Brown Hair,Female Characters,straight,Living Characters,2,"1990, May",1990,0.0019307256,,,
dc,314324,Morisca (New Earth),\/wiki\/Morisca_(New_Earth),Public Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,straight,Deceased Characters,1,"1990, May",1990,0.0009653628,,,
dc,314287,Stearn (New Earth),\/wiki\/Stearn_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,1,"1990, May",1990,0.0009653628,,,
dc,314262,Heretic (New Earth),\/wiki\/Heretic_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Deceased Characters,13,"2010, July",2010,0.0125497162,,,
dc,313456,Lennox (New Earth),\/wiki\/Lennox_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,straight,Deceased Characters,6,"1989, August",1989,0.0057921767,,,
dc,312598,Cleric (New Earth),\/wiki\/Cleric_(New_Earth),Public Identity,Good Characters,Red Eyes,White Hair,Male Characters,straight,Deceased Characters,11,"1989, May",1989,0.0106189906,,,
dc,312299,Syra (New Earth),\/wiki\/Syra_(New_Earth),Public Identity,Good Characters,Hazel Eyes,Blond Hair,Female Characters,straight,Deceased Characters,1,"1989, May",1989,0.0009653628,,,
dc,312245,Sen-M (New Earth),\/wiki\/Sen-M_(New_Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,2,"1988, January",1988,0.0019307256,,,
dc,312220,Lark (New Earth),\/wiki\/Lark_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,5,"1990, June",1990,0.0048268139,,,
dc,312132,Mind Czar (New Earth),\/wiki\/Mind_Czar_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,1,"2010, April",2010,0.0009653628,,,
dc,311911,Nyra (New Earth),\/wiki\/Nyra_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,1,"1987, December",1987,0.0009653628,,,
dc,311798,Ten-R (New Earth),\/wiki\/Ten-R_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,1,"1987, December",1987,0.0009653628,,,
dc,311782,Vara (New Earth),\/wiki\/Vara_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,3,"1987, December",1987,0.0028960884,,,
dc,311748,Kan-Z (New Earth),\/wiki\/Kan-Z_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,2,"1987, December",1987,0.0019307256,,,
dc,311648,Eyra-L (New Earth),\/wiki\/Eyra-L_(New_Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,straight,Living Characters,2,"1987, December",1987,0.0019307256,,,
dc,311647,Ran-L (New Earth),\/wiki\/Ran-L_(New_Earth),Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,straight,Living Characters,2,"1987, December",1987,0.0019307256,,,
dc,311646,Van-L (New Earth),\/wiki\/Van-L_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,4,"1987, December",1987,0.0038614511,,,
dc,310609,Marcia Hargis (New Earth),\/wiki\/Marcia_Hargis_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,3,"1996, July",1996,0.0028960884,,,
dc,310602,Warhammer (New Earth),\/wiki\/Warhammer_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,2,"1996, October",1996,0.0019307256,,,
dc,310265,"Pedro, Ghost Patrol (New Earth)","\/wiki\/Pedro,_Ghost_Patrol_(New_Earth)",Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Deceased Characters,29,"1942, May",1942,0.0279955207,,,
dc,309863,Sonia Zucco (New Earth),\/wiki\/Sonia_Zucco_(New_Earth),Public Identity,Neutral Characters,Black Eyes,Brown Hair,Female Characters,straight,Living Characters,13,"2011, June",2011,0.0125497162,,,
dc,309860,Bixby Rhodes (New Earth),\/wiki\/Bixby_Rhodes_(New_Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,2,"2011, June",2011,0.0019307256,,,
