ComicType,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year,APPEARANCES_R,
marvel,282523,Barnabus Mullen (Earth-616),\/Barnabus_Mullen_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,straight,Living Characters,3,Jan-40,1940,0.0014965355,
marvel,282449,Dale Sturm (Earth-616),\/Dale_Sturm_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,3,Apr-40,1940,0.0014965355,
marvel,282452,David Dean (Earth-616),\/David_Dean_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Red Hair,Male Characters,straight,Living Characters,3,Mar-40,1940,0.0014965355,
marvel,282472,Donovan Gorman (Earth-616),\/Donovan_Gorman_(Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Male Characters,straight,Living Characters,3,May-40,1940,0.0014965355,
marvel,282530,Doyle Denton (Earth-616),\/Doyle_Denton_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,3,Jan-40,1940,0.0014965355,
marvel,282592,Zombie Master (Earth-616),\/Zombie_Master_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Grey Hair,Male Characters,straight,Deceased Characters,3,Jan-40,1940,0.0014965355,
marvel,441225,Jago (Earth-616),\/Jago_(Earth-616),Public Identity,Bad Characters,Red Eyes,No Hair,Male Characters,straight,Deceased Characters,2,Jun-40,1940,0.0009976903,
marvel,19684,Mantor (Earth-616),\/Mantor_(Earth-616),Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,straight,Living Characters,2,Sep-40,1940,0.0009976903,
marvel,238455,Texas Kid (Earth-616),\/Texas_Kid_(Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,2,Jan-40,1940,0.0009976903,
marvel,282572,Tigerman (Earth-616),\/Tigerman_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,2,Sep-40,1940,0.0009976903,
marvel,437867,Diane Carson (Earth-616),\/Diane_Carson_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,1,Jan-40,1940,0.0004988452,
marvel,448489,Green Terror (3Xs Foe) (Earth-616),\/Green_Terror_(3Xs_Foe)_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Green Hair,Male Characters,straight,Living Characters,1,Mar-40,1940,0.0004988452,
marvel,441633,Zoor (Earth-616),\/Zoor_(Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,straight,Living Characters,1,Jul-40,1940,0.0004988452,
marvel,7139,Captain America (Steven Rogers),\/Captain_America_(Steven_Rogers),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,3360,Mar-41,1941,1.6761197827,
marvel,15823,James Buchanan Barnes (Earth-616),\/James_Buchanan_Barnes_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,641,Mar-41,1941,0.3197597562,
marvel,2344,Johann Shmidt (Earth-616),\/Johann_Shmidt_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,376,Aug-41,1941,0.1875657852,
marvel,1990,Robert Frank (Earth-616),\/Robert_Frank_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,straight,Deceased Characters,103,Aug-41,1941,0.0513810529,
marvel,12808,Mark Todd (Earth-616),\/Mark_Todd_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,straight,Deceased Characters,44,Mar-41,1941,0.0219491876,
marvel,31402,Daniel Lyons (Earth-616),\/Daniel_Lyons_(Earth-616),Secret Identity,Good Characters,Green Eyes,Grey Hair,Male Characters,straight,Deceased Characters,29,Mar-41,1941,0.01446651,
marvel,11045,Jack Frost (Earth-616),\/Jack_Frost_(Earth-616),Secret Identity,Good Characters,White Eyes,Blue Hair,Male Characters,straight,Living Characters,27,Aug-41,1941,0.0134688197,
marvel,89270,Heinz Kruger (Earth-616),\/Heinz_Kruger_(Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Deceased Characters,25,Mar-41,1941,0.0124711293,
marvel,11416,Elizabeth Barstow (Earth-616),\/Elizabeth_Barstow_(Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,straight,Living Characters,24,Apr-41,1941,0.0119722842,
marvel,11046,Elton Morrow (Earth-616),\/Elton_Morrow_(Earth-616),Secret Identity,Good Characters,Blue Eyes,No Hair,Male Characters,straight,Living Characters,20,Apr-41,1941,0.0099769035,
marvel,83018,Peter Noble (Earth-616),\/Peter_Noble_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,17,Apr-41,1941,0.0084803679,
marvel,76265,Daniel Rose (Earth-616),\/Daniel_Rose_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,16,Aug-41,1941,0.0079815228,
marvel,17525,William Waring (Earth-616),\/William_Waring_(Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,straight,Living Characters,16,Apr-41,1941,0.0079815228,
marvel,98846,Larry Scott (Earth-616),\/Larry_Scott_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Reddish Blond Hair,Male Characters,straight,Living Characters,13,Sep-41,1941,0.0064849873,
marvel,23345,Witness (WWII) (Earth-616),\/Witness_(WWII)_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,13,Dec-41,1941,0.0064849873,
marvel,98845,Dan Kane (Earth-616),\/Dan_Kane_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,straight,Deceased Characters,9,Nov-41,1941,0.0044896066,
marvel,75994,Laslo Pevely (Earth-616),\/Laslo_Pevely_(Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,7,Mar-41,1941,0.0034919162,
marvel,50912,Tuk (Earth-616),\/Tuk_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,straight,Living Characters,6,Mar-41,1941,0.002993071,
marvel,461628,Demon (Davey Drew Foe) (Earth-616),\/Demon_(Davey_Drew_Foe)_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,straight,Living Characters,4,Dec-41,1941,0.0019953807,
marvel,244737,Lord of Death (Earth-616),\/Lord_of_Death_(Earth-616),Secret Identity,Bad Characters,Black Eyes,White Hair,Male Characters,straight,Living Characters,4,Jun-41,1941,0.0019953807,
marvel,7707,Pascal Horta (Earth-616),\/Pascal_Horta_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,4,Dec-41,1941,0.0019953807,
marvel,458817,Grosso (Earth-616),\/Grosso_(Earth-616),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Deceased Characters,1,Oct-41,1941,0.0004988452,
marvel,89814,Rathcone (Earth-616),\/Rathcone_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Brown Hair,Male Characters,straight,Living Characters,1,Mar-41,1941,0.0004988452,
marvel,458594,Ulrich Kuster (Earth-616),\/Ulrich_Kuster_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,straight,Deceased Characters,1,Oct-41,1941,0.0004988452,
marvel,468733,James Jankovicz (Earth-616),\/James_Jankovicz_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,straight,Deceased Characters,28,Feb-42,1942,0.0139676649,
marvel,238412,Roddy Colt (Earth-616),\/Roddy_Colt_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,19,Apr-42,1942,0.0094780583,
marvel,483808,Albert Jones (Earth-616),\/Albert_Jones_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,8,Dec-42,1942,0.0039907614,
marvel,1333,John Watkins (Earth-616),\/John_Watkins_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Deceased Characters,8,Jan-42,1942,0.0039907614,
marvel,469318,Ambrose Meek (Earth-616),\/Ambrose_Meek_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Brown Hair,Male Characters,straight,Living Characters,2,Mar-42,1942,0.0009976903,
marvel,480251,Will Power (Nowhere) (Earth-616),\/Will_Power_(Nowhere)_(Earth-616),Secret Identity,Good Characters,Gold Eyes,Gold Hair,Male Characters,straight,Living Characters,1,Aug-42,1942,0.0004988452,
marvel,2164,Madeline Joyce (Earth-616),\/Madeline_Joyce_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,straight,Deceased Characters,140,Nov-43,1943,0.0698383243,
marvel,9797,Poseidon Aegaeus (Earth-616),\/Poseidon_Aegaeus_(Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,34,Feb-43,1943,0.0169607359,
marvel,503191,Elizabeth II (Earth-616),\/Elizabeth_II_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Grey Hair,Female Characters,straight,Living Characters,13,Sep-43,1943,0.0064849873,
marvel,19654,Jeff Jordan (Earth-616),\/Jeff_Jordan_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Auburn Hair,Male Characters,straight,Living Characters,12,Feb-43,1943,0.0059861421,
marvel,260717,Martin Oksner Burns (Earth-616),\/Martin_Oksner_Burns_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,3,Mar-43,1943,0.0014965355,
marvel,161341,Timothy Mulrooney (Earth-616),\/Timothy_Mulrooney_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,straight,Living Characters,2,Feb-43,1943,0.0009976903,
marvel,490134,Ottokar Meltzer (Earth-616),\/Ottokar_Meltzer_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Green Hair,Male Characters,straight,Living Characters,1,Sep-43,1943,0.0004988452,
marvel,1811,Patricia Walker (Earth-616),\/Patricia_Walker_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,straight,Living Characters,550,Nov-44,1944,0.2743648454,
marvel,59017,Arthur Pendragon (Earth-616),\/Arthur_Pendragon_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,56,Mar-44,1944,0.0279353297,
marvel,7181,Robert Baxter (Earth-616),\/Robert_Baxter_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,44,Nov-44,1944,0.0219491876,
marvel,2148,Myraddin of Ruta (Earth-616),\/Myraddin_of_Ruta_(Earth-616),Secret Identity,Good Characters,Hazel Eyes,White Hair,Male Characters,straight,Living Characters,30,Mar-44,1944,0.0149653552,
marvel,505442,Baron Krugg (Earth-616),\/Baron_Krugg_(Earth-616),Public Identity,Bad Characters,Green Eyes,Green Hair,Male Characters,straight,Deceased Characters,1,Dec-44,1944,0.0004988452,
marvel,497649,Black Snake (Earth-616),\/Black_Snake_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Blond Hair,Male Characters,straight,Deceased Characters,1,May-44,1944,0.0004988452,
marvel,504651,Ed Turtle (Earth-616),\/Ed_Turtle_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,1,Dec-44,1944,0.0004988452,
marvel,495227,Hercules (Captain America Past Life) (Earth-616),\/Hercules_(Captain_America_Past_Life)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,1,May-44,1944,0.0004988452,
marvel,1252,Fred Davis Jr. (Earth-616),\/Fred_Davis_Jr._(Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Deceased Characters,81,Aug-45,1945,0.040406459,
marvel,18815,Jack the Ripper (Earth-616),\/Jack_the_Ripper_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,straight,Deceased Characters,12,Mar-45,1945,0.0059861421,
marvel,708935,Gaillard (Earth-616),\/Gaillard_(Earth-616),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,1,Mar-45,1945,0.0004988452,
marvel,708966,Nick Finelli (Earth-616),\/Nick_Finelli_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,1,Sep-45,1945,0.0004988452,
marvel,505245,Percy Walker (Earth-616),\/Percy_Walker_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,1,Jan-45,1945,0.0004988452,
marvel,3936,Louise Grant (Earth-616),\/Louise_Grant_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,99,Sep-46,1946,0.0493856722,
marvel,2670,Simon Meke (Earth-616),\/Simon_Meke_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,11,Sep-46,1946,0.0054872969,
marvel,754718,Arch Murdock (Earth-616),\/Arch_Murdock_(Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,straight,Living Characters,1,Dec-46,1946,0.0004988452,
marvel,754692,John Harriman (Earth-616),\/John_Harriman_(Earth-616),No Dual Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,1,Jun-46,1946,0.0004988452,
marvel,39133,Aquaria Neptunia (Earth-616),\/Aquaria_Neptunia_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,139,May-47,1947,0.0693394791,
marvel,11406,Victoria Murdock (Earth-616),\/Victoria_Murdock_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Female Characters,straight,Deceased Characters,10,Jun-47,1947,0.0049884517,
marvel,754889,Elaine Clayton (Earth-616),\/Elaine_Clayton_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,1,Sep-47,1947,0.0004988452,
marvel,754883,Joyce Clayton (Earth-616),\/Joyce_Clayton_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,1,Sep-47,1947,0.0004988452,
marvel,15587,Clay Harder (Earth-616),\/Clay_Harder_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,106,Mar-48,1948,0.0528775884,
marvel,11081,Aphrodite Ourania (Earth-616),\/Aphrodite_Ourania_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,50,Aug-48,1948,0.0249422587,
marvel,40050,Mary Mitchell (Earth-616),\/Mary_Mitchell_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,17,Aug-48,1948,0.0084803679,
marvel,46682,Helen (Earth-616),\/Helen_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,13,Aug-48,1948,0.0064849873,
marvel,43246,Arizona Annie (Earth-616),\/Arizona_Annie_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Deceased Characters,10,Mar-48,1948,0.0049884517,
marvel,755050,Bull Gresham (Earth-616),\/Bull_Gresham_(Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,straight,Deceased Characters,1,Dec-48,1948,0.0004988452,
marvel,709775,Demarest Dodds (Earth-616),\/Demarest_Dodds_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,1,Oct-48,1948,0.0004988452,
marvel,709470,Eric Hodges (Earth-616),\/Eric_Hodges_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,1,Mar-48,1948,0.0004988452,
marvel,709481,Jackie Starr (Earth-616),\/Jackie_Starr_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,1,Jun-48,1948,0.0004988452,
marvel,709468,Magda Malone (Earth-616),\/Magda_Malone_(Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,1,Mar-48,1948,0.0004988452,
marvel,535095,Swami Krishna (Earth-616),\/Swami_Krishna_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,1,Jul-48,1948,0.0004988452,
marvel,2042,Loki Laufeyson (Earth-616),\/Loki_Laufeyson_(Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Bisexual Characters,Living Characters,532,Aug-49,1949,0.2653856323,
marvel,1095,Ares (Earth-616),\/Ares_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,straight,Deceased Characters,236,Apr-49,1949,0.1177274609,
