ComicType,Characters,Dim1,Dim2,x1,y1
dc,Aquaman (Arthur Curry),0.2701865419,0.2271015799,,
marvel,Janet van Dyne (Earth-616),0.1596709276,0.9557329159,,
marvel,Jean Grey (Earth-616),1.1294636945,1.1008036301,5,10
dc,Timothy Drake (New Earth),0.276508132,0.2198589848,,
dc,Dinah Laurel Lance (New Earth),0.1536674726,0.9601337069,,
marvel,Natalia Romanova (Earth-616),0.1415431333,0.9418126744,5,25
marvel,Kurt Wagner (Earth-616),0.2615041189,0.1603351902,,
dc,GenderTest,0.13790386,0.9861664306,,
dc,Flash (Barry Allen),0.2760949605,0.2189055102,,
marvel,Vision (Earth-616),0.2705834433,0.2057137353,,
marvel,May Reilly (Earth-616),0.1495435837,0.9572448725,,
dc,Alan Scott (New Earth),1.260314281,0.381306328,,
dc,Barbara Gordon (New Earth),0.1575046861,0.9324769171,,
dc,Jason Garrick (New Earth),0.2693788035,0.225380654,,
dc,Lois Lane (New Earth),0.1575191787,0.9561617653,,
dc,Alfred Pennyworth (New Earth),0.2709349063,0.2282348582,,
marvel,Katherine Pryde (Earth-616),0.159697267,0.9285003978,,
marvel,Carol Danvers (Earth-616),0.158430077,0.9531375437,,
marvel,Jennifer Walters (Earth-616),0.1529888204,0.946259049,,
marvel,Emma Frost (Earth-616),0.1320424661,1.0044773404,,
marvel,Frank Castle (Earth-616),0.2456682296,0.2814672908,,
marvel,Luke Cage (Earth-616),0.2644993323,0.2337627997,,
dc,Carter Hall (New Earth),0.2753605065,0.2172005051,,
marvel,Conan (Earth-616),0.2385032306,0.2921991995,,
marvel,Joseph Robertson (Earth-616),0.253562748,0.214576987,,
marvel,Pietro Maximoff (Earth-616),0.2624673464,0.212400341,,
marvel,Hercules (Earth-616),0.2562098011,0.2432994016,,
marvel,Victor von Doom (Earth-616),0.294134069,0.1698432932,,
dc,Kyle Rayner (New Earth),0.2746706128,0.2118487555,,
marvel,Max Eisenhardt (Earth-616),0.2435882343,0.270986764,,
marvel,Elizabeth Braddock (Earth-616),0.1254142159,0.9960552275,,
marvel,Norrin Radd (Earth-616),0.2716652108,0.2295108876,,
marvel,Norman Osborn (Earth-616),0.2974251968,0.1775038816,,
marvel,Eugene Thompson (Earth-616),0.2673902674,0.2039025626,,
marvel,Simon Williams (Earth-616),0.2583145719,0.1825225249,,
marvel,Samuel Guthrie (Earth-616),0.2765355353,0.2193039523,,
dc,Roy Harper (New Earth),0.2425464476,0.2512927966,,
marvel,James Buchanan Barnes (Earth-616),0.2739183971,0.2159153006,,
marvel,Remy LeBeau (Earth-616),0.2769431538,0.2232349891,,
dc,Kara Zor-L (Earth-Two),0.1645815305,0.9449906198,,
marvel,Daniel Rand (Earth-616),0.2765896474,0.2193251577,,
marvel,Nathan Summers (Earth-616),0.2332994697,0.2650449328,,
marvel,Elizabeth Brant (Earth-616),0.1513047331,0.9568295137,,
dc,Garfield Logan (New Earth),0.2666689079,0.2151705598,,
dc,Guy Gardner (New Earth),0.2641771335,0.2153760175,,
marvel,Richard Jones (Earth-616),0.2748566789,0.2146058955,,
dc,Victor Stone (New Earth),0.2706365624,0.2257203855,,
marvel,Edwin Jarvis (Earth-616),0.2548452095,0.2171197168,,
dc,Kon-El (New Earth),0.2763291244,0.2216931638,,
dc,Ralph Dibny (New Earth),1.2483672988,0.3777745514,,
marvel,Alexander Summers (Earth-616),0.2708656549,0.2276858271,,
dc,James Olsen (New Earth),0.2606799667,0.2090195716,,
marvel,Patricia Walker (Earth-616),0.1580595436,0.9327277888,,
dc,John Stewart (New Earth),0.2706817412,0.2257298629,,
marvel,Human Torch (Android) (Earth-616),0.2708913803,0.2276310051,,
marvel,Loki Laufeyson (Earth-616),0.1559052375,0.7744855824,,
marvel,Franklin Nelson (Earth-616),0.2661180592,0.2379002476,,
marvel,Brian Braddock (Earth-616),0.2708963967,0.2277289546,,
marvel,Otto Octavius (Earth-616),1.231062648,0.4184650853,,
marvel,James Rhodes (Earth-616),0.2746823293,0.2150898174,,
dc,Joker (New Earth),0.2977683153,0.1539962967,,
marvel,Timothy Dugan (Earth-616),1.2484161634,0.3778165536,,
marvel,Crystalia Amaquelin (Earth-616),0.1481502932,0.9286695834,,
marvel,Samuel Wilson (Earth-616),0.2707277134,0.2257597621,,
marvel,Wilson Fisk (Earth-616),0.2970947627,0.1768126647,,
marvel,Odin Borson (Earth-616),0.2354625241,0.2618983899,,
marvel,Deadpool (Wade Wilson),0.2502433226,0.2733358667,,
dc,Garth (New Earth),1.2465124211,0.3535213703,,
marvel,Dane Whitman (Earth-616),0.2750435026,0.2146421546,,
marvel,Harold Osborn (Earth-616),0.2641531836,0.2341934958,,
marvel,Franklin Richards (Earth-616),0.2607929352,0.2430254305,,
marvel,Jessica Drew (Earth-616),0.1641623,0.9393644095,,
marvel,Roberto da Costa (Earth-616),0.2765331128,0.2175959256,,
marvel,Rahne Sinclair (Earth-616),0.1560083145,0.9242889346,,
marvel,Elizabeth Ross (Earth-616),0.1595854419,0.9543289867,,
dc,Zatanna Zatara (New Earth),0.1595402206,0.9544149501,,
marvel,Lorna Dane (Earth-616),0.1606322126,0.9327683263,,
dc,Theodore Kord (New Earth),1.2851315778,0.3271493536,,
dc,Michael Jon Carter (New Earth),0.2710159344,0.2278443587,,
marvel,Johnathon Blaze (Earth-616),0.2696841259,0.2062982846,,
dc,Cassandra Sandsmark (New Earth),0.1590285765,0.9535453798,,
dc,Kent Nelson (New Earth),1.2609931128,0.3818209911,,
marvel,Sif (Earth-616),0.1537140022,0.9628282745,,
marvel,Red Hulk (Thaddeus Ross),0.2462435474,0.2818737433,,
dc,Harvey Bullock (New Earth),0.2708493502,0.2258668474,,
marvel,Jubilation Lee (Earth-616),0.1646127422,0.9433378236,,
marvel,Volstagg (Earth-616),0.2643646655,0.21562358,,
marvel,Balder Odinson (Earth-616),1.2600333194,0.3799239958,,
dc,Rachel Roth (New Earth),0.1562806114,0.908621378,,
dc,Helena Bertinelli (New Earth),0.1630297009,0.9499388346,,
dc,Wesley Dodds (New Earth),1.2592548968,0.3771225259,,
marvel,Galactus (Earth-616),0.2468233133,0.2621018293,,
marvel,Danielle Moonstar (Earth-616),0.164690011,0.9432662473,,
marvel,Marc Spector (Earth-616),0.2750999524,0.2148200661,,
dc,Nathaniel Adam (New Earth),0.2666623029,0.2007029963,,
marvel,Gwendolyne Stacy (Earth-616),1.1374343152,1.1242141687,,
marvel,Medusalith Amaquelin (Earth-616),0.1503006019,0.9326322164,,
marvel,Sabretooth (Victor Creed),0.3041147192,0.1753749104,,
marvel,Illyana Rasputina (Earth-616),0.1395822659,0.9983415573,,
marvel,Johann Shmidt (Earth-616),1.2803868071,0.3373771525,,
marvel,Fandral (Earth-616),1.2610354242,0.3819125308,,
marvel,Sean Cassidy (Earth-616),0.2408916192,0.2477702328,,
marvel,Thomas Raymond (Earth-616),0.2773776195,0.2205145669,,
marvel,Uatu (Earth-616),1.2562568306,0.3921084049,,
marvel,Richard Rider (Earth-616),1.2534579009,0.3855368587,,
dc,John Constantine (New Earth),0.2634529486,0.2372337111,,
marvel,Hogun (Earth-616),0.2688136847,0.217259724,,
marvel,Raven Darkholme (Earth-616),0.1582851627,0.8373274905,,
dc,Albert Pratt (New Earth),1.2543602478,0.3696686712,,
marvel,Barbara Morse (Earth-616),0.1648649489,0.9453059243,,
marvel,Blackagar Boltagon (Earth-616),0.2658151555,0.2371230107,,
dc,Charles McNider (New Earth),1.261067984,0.3818777555,,
marvel,Brunnhilde (Earth-616),0.1648749317,0.9453134929,,
dc,Theodore Knight (New Earth),1.2593479332,0.3770827242,,
dc,Lobo (New Earth),0.2365673574,0.2414969494,,
marvel,Alison Blaire (Earth-616),0.1504484639,0.9375447391,,
dc,Perry White (New Earth),0.2700933935,0.2260363943,,
marvel,Venom (Symbiote) (Earth-616),0.0685737166,1.2131577491,,
marvel,John Walker (Earth-616),0.2769177748,0.2196036612,,
marvel,Greer Grant (Earth-616),0.1574997428,0.945909921,,
marvel,Karla Sofen (Earth-616),0.1338301677,1.0066957835,,
marvel,William Baker (Earth-616),0.2499005366,0.2678791885,,
dc,Slade Wilson (New Earth),0.2414597386,0.2537745968,,
dc,Phantom Stranger (New Earth),0.2781569896,0.223348172,,
marvel,Sharon Carter (Earth-616),0.1591591216,0.9535700278,,
marvel,Cain Marko (Earth-616),0.2391938926,0.2687341485,,
dc,Beatriz da Costa (New Earth),0.1608087973,0.9328215981,,
marvel,Maria Hill (Earth-616),0.1518760607,0.9620338268,,
marvel,Ben Urich (Earth-616),0.2636228547,0.2314436804,,
marvel,Heather Douglas (Earth-616),0.1583022674,0.9565721085,,
dc,William Batson (New Earth),0.277491671,0.220485743,,
marvel,James Proudstar (Earth-616),0.2767117541,0.2177363193,,
dc,Carol Ferris (New Earth),0.1344275017,1.0075546677,,
marvel,Angelica Jones (Earth-616),0.1388101167,0.9492853214,,
marvel,Edward Brock (Earth-616),0.2458883889,0.2849300868,,
marvel,MacDonald Gargan (Earth-616),0.3024197648,0.1657472496,,
marvel,Mephisto (Earth-616),0.2784255335,0.1324346405,,
marvel,Tabitha Smith (Earth-616),0.1645783481,0.9459303733,,
marvel,Jean-Paul Beaubier (Earth-616),0.2728522009,0.2262546784,,
marvel,Daniel Ketch (Earth-616),0.2485707008,0.2621143306,,
marvel,Neena Thurman (Earth-616),0.1654872648,0.9462778953,,
dc,Jennifer-Lynn Hayden (New Earth),0.1583214385,0.936815738,,
dc,Renee Montoya (New Earth),0.1597126104,0.9497472456,,
dc,Harvey Dent (New Earth),0.2953613525,0.1731066464,,
marvel,Wong (Earth-616),0.2656368085,0.2352632941,,
marvel,Thanos (Earth-616),0.2766353231,0.1355002767,,
dc,Courtney Whitmore (New Earth),0.1649792815,0.9453466845,,
dc,Kendra Saunders (New Earth),1.1445526205,1.0914676666,,
dc,Michael Holt (New Earth),0.2767795773,0.2177021773,,
dc,Kara Zor-El (New Earth),0.1649861158,0.9453667312,,
marvel,Shang-Chi (Earth-616),0.2643082003,0.2356931696,,
marvel,Alicia Masters (Earth-616),0.143826451,0.9432735813,,
marvel,Robert Baldwin (Earth-616),0.2766916257,0.2201289186,,
dc,Jonah Hex (New Earth),1.254989891,0.3908711593,,
marvel,Vance Astrovik (Earth-616),0.2666192423,0.2116841533,,
marvel,Wendell Vaughn (Earth-616),0.2766477101,0.2201861414,,
dc,Rex Tyler (New Earth),0.2759994071,0.2176848939,,
dc,Pamela Isley (New Earth),0.1309999205,0.9773676786,,
dc,Pieter Cross (New Earth),0.277506158,0.2206404235,,
marvel,Abner Jenkins (Earth-616),0.2692854747,0.223448103,,
dc,Jonathan L. Thunder (New Earth),0.2770217761,0.2195685441,,
marvel,Elektra Natchios (Earth-616),0.1402678834,0.9993218804,,
marvel,Bullseye (Lester) (Earth-616),0.3021978406,0.1667673285,,
marvel,Forge (Earth-616),0.2633443475,0.2381873776,,
marvel,Virginia Potts (Earth-616),0.1441869468,0.9417450088,,
marvel,Walter Langkowski (Earth-616),0.276962655,0.2197331605,,
marvel,Gorgon (Earth-616),0.275299114,0.2148309939,,
marvel,James Madrox (Earth-616),0.2671320195,0.226913118,,
marvel,Heimdall (Earth-616),0.2732093365,0.2062026652,,
dc,Mari McCabe (New Earth),0.1660087728,0.9522436515,,
dc,Scott Free (New Earth),0.2775408167,0.2205973294,,
marvel,Theresa Cassidy (Earth-616),0.1562339775,0.9244550682,,
dc,Martha Clark (New Earth),0.1378087245,0.9525940471,,
marvel,Laura Kinney (Earth-616),0.1634289629,0.9376539695,,
marvel,Arthur Douglas (Earth-616),0.2739477079,0.2210509755,,
marvel,Peter Parker (Ben Reilly) (Earth-616),1.2576146168,0.3676552388,,
marvel,Warlock (Technarch) (Earth-616),0.2735842938,0.2150674887,,
marvel,Kevin Plunder (Earth-616),0.271187955,0.2280355653,,
marvel,Leonard Samson (Earth-616),1.2526203369,0.3836498061,,
marvel,Melissa Gold (Earth-616),0.1628886085,0.9367342284,,
marvel,Mercedes Knight (Earth-616),0.1590038083,0.9517609506,,
marvel,Moira Kinross (Earth-616),1.1365172605,1.1225504323,,
marvel,Karnak (Earth-616),1.2616458295,0.3830515523,,
marvel,Namorita Prentiss (Earth-616),1.1433376999,1.1161097555,,
dc,John Zatara (New Earth),1.2609761794,0.38409354,,
marvel,Lockjaw (Earth-616),0.2752699164,0.2149241508,,
dc,Jonathan Kent (New Earth),1.2436861637,0.3738621795,,
dc,Oswald Cobblepot (New Earth),0.2465039116,0.281901342,,
dc,Tatsu Yamashiro (New Earth),0.164859719,0.9433949131,,
marvel,Adam Warlock (Earth-616),0.2513677949,0.1814324782,,
marvel,Heather McNeil (Earth-616),0.1251863212,0.9858252558,,
dc,Lawrence Trainor (New Earth),0.2769026731,0.2198786306,,
marvel,Curtis Connors (Earth-616),0.2320568887,0.2331346123,,
marvel,Theodore Sallis (Earth-616),0.2631203126,0.1717961995,,
marvel,Adrian Toomes (Earth-616),0.2939051644,0.1625806874,,
marvel,Amora (Earth-616),0.1823480445,0.8920749606,,
marvel,Clea (Earth-616),0.1432524292,0.9430951155,,
dc,Brion Markov (New Earth),0.2662593947,0.1949639576,,
marvel,Mar-Vell (Earth-616),1.2553920876,0.3903541707,,
marvel,Eugene Judd (Earth-616),0.2715031968,0.2270452689,,
marvel,Daimon Hellstrom (Earth-616),0.2237469445,0.2366677031,,
dc,Sanderson Hawkins (New Earth),0.2770716902,0.219606387,,
marvel,John Jonah Jameson III (Earth-616),0.261418484,0.2439248114,,
marvel,Triton (Earth-616),0.2592222213,0.2201382482,,
marvel,Robert Reynolds (Earth-616),0.251435444,0.2733197573,,
dc,Jonathan Chambers (New Earth),1.2611685631,0.3820693037,,
marvel,Aleksei Sytsevich (Earth-616),1.2846198414,0.3244446914,,
marvel,Santo Vaccarro (Earth-616),0.259435065,0.1617353372,,
dc,Thaal Sinestro (New Earth),0.232520924,0.2242424778,,
dc,Orion (New Earth),1.2467216174,0.3743345751,,
marvel,Jonathan Clay (Earth-616),0.2657930756,0.2130583527,,
marvel,Ares (Earth-616),1.2342770309,0.4301735378,,
marvel,Sersi (Earth-616),0.1655413345,0.9463945414,,
marvel,Guido Carosella (Earth-616),0.252053524,0.2717830649,,
dc,Cassandra Cain (New Earth),0.1648712886,0.9434433252,,
dc,Jason Todd (New Earth),0.2523067422,0.2736995458,,
dc,Jean-Paul Valley (New Earth),1.2611954305,0.3821032122,,
marvel,Zabu (Earth-616),0.2645635705,0.2107963721,,
dc,Hippolyta (New Earth),0.1589032913,0.9560618401,,
marvel,Michael Morbius (Earth-616),0.2424762458,0.2333471582,,
marvel,Julio Richter (Earth-616),0.2707079712,0.2205969287,,
dc,Sylvester Pemberton (New Earth),1.2610050784,0.3841204051,,
dc,Joseph Wilson (New Earth),0.2496910552,0.2640574041,,
dc,Bernhard Baker (New Earth),0.2770740703,0.2196676524,,
marvel,Megan Gwynn (Earth-616),0.1546177073,0.9515529686,,
dc,Jesse Chambers (New Earth),0.1584394798,0.9550488254,,
dc,Floyd Lawton (New Earth),0.2508034209,0.2708011222,,
marvel,Kyle Richmond (Earth-616),0.277803167,0.2197479685,,
marvel,Karen Page (Earth-616),1.1375798169,1.1244397756,,
marvel,Tyrone Johnson (Earth-616),0.2768767692,0.2177411789,,
dc,Tora Olafsdotter (New Earth),0.1490176411,0.9349255858,,
marvel,Maxwell Dillon (Earth-616),0.297999209,0.1779390747,,
marvel,Valerie Cooper (Earth-616),0.1592805022,0.9537016943,,
dc,George Harkness (New Earth),0.3005510742,0.1619882179,,
marvel,Anna May (Earth-616),0.1427907454,0.9438980178,,
marvel,Vlad Dracula (Earth-616),0.2706720695,0.1241314804,,
dc,Jonathan Crane (New Earth),0.2954672216,0.1731819571,,
dc,Amanda Waller (New Earth),0.1590905476,0.9517461051,,
marvel,Tandy Bowen (Earth-616),0.1650875058,0.9453890953,,
marvel,Monet St. Croix (Earth-616),0.1532351741,0.9601571456,,
dc,Shiera Sanders (New Earth),0.1465048952,0.9479773349,,
dc,Leonard Snart (New Earth),0.3005581646,0.1619836835,,
dc,Jeb Stuart (New Earth),0.2698292847,0.2268093808,,
dc,Maxwell Lord IV (New Earth),0.2456349184,0.2821305724,,
marvel,Gamora (Earth-616),0.1147494205,0.9582833381,,
marvel,Amara Aquilla (Earth-616),0.1645517017,0.9462510958,,
dc,Damian Wayne (Prime Earth),1.2593293556,0.3868838764,,
dc,Big Barda (New Earth),1.149759648,1.1087040778,,
dc,Niles Caulder (New Earth),0.2686451739,0.2234400635,,
dc,James Corrigan (New Earth),1.2546040761,0.3697382388,,
dc,Samuel Bradley (New Earth),0.2618289414,0.2182404849,,
dc,Richard Tyler (New Earth),0.2695614779,0.2232457353,,
marvel,Julia Carpenter (Earth-616),0.1563739133,0.9294471443,,
marvel,Jane Foster (Earth-616),0.152491573,0.960111755,,
marvel,Mortimer Toynbee (Earth-616),0.251458458,0.2737760045,,
marvel,Scott Lang (Earth-616),0.2626604778,0.2119185702,,
dc,Todd Rice (New Earth),0.2649871697,0.2288496793,,
marvel,Paige Guthrie (Earth-616),0.1651064219,0.9454083918,,
dc,Matrix (Pocket Universe),0.1590564946,0.9541231921,,
marvel,Benjamin Parker (Earth-616),1.2481822418,0.3975223891,,
marvel,Erik Josten (Earth-616),0.2698069102,0.2044214221,,
marvel,Jeanne-Marie Beaubier (Earth-616),0.1656785427,0.9462729357,,
marvel,Carl Creel (Earth-616),0.2975635031,0.1769325033,,
marvel,Michael Twoyoungmen (Earth-616),0.2710626327,0.2261537531,,
marvel,Hope Summers (Earth-616),0.1486838385,0.9366706802,,
dc,William Glenmorgan (New Earth),1.25558714,0.391920925,,
dc,Stephanie Brown (New Earth),0.1651122067,0.9454325979,,
marvel,Eric Masterson (Earth-616),1.2611932889,0.3822069717,,
marvel,Alexander Power (Earth-616),0.2771035065,0.2197395205,,
marvel,Matthew Hawk (Earth-616),1.2601945463,0.3802768181,,
marvel,Jessica Jones (Earth-616),0.1517547109,0.9572859622,,
marvel,Frederick Dukes (Earth-616),0.2947819028,0.17033941,,
marvel,Eric Brooks (Earth-616),0.2711199358,0.2260670396,,
marvel,Eros (Earth-616),0.2646691841,0.2157589808,,
marvel,Madison Jeffries (Earth-616),0.265312676,0.2344042198,,
dc,Raymond Terrill (New Earth),0.2683587823,0.1987974664,,
dc,Adam Blake (New Earth),0.2638559915,0.2163320081,,
marvel,Mandarin (Earth-616),1.2869206477,0.3302360165,,
dc,Kimiyo Hoshi (New Earth),0.1663327865,0.9492273963,,
marvel,The Wizard (Earth-616),0.2919402889,0.1588739356,,
marvel,Akihiro (Earth-616),0.2918788754,0.1824320801,,
dc,Jack Ryder (New Earth),0.2775875398,0.2207430911,,
dc,Vandar Adg (New Earth),0.2711406699,0.2260084332,,
marvel,Sergei Kravinoff (Earth-616),1.2804109709,0.3356334501,,
marvel,Jonothon Starsmore (Earth-616),0.275388191,0.2149728546,,
dc,Justin Arthur (New Earth),0.2764532848,0.2207516423,,
marvel,Helmut Zemo (Earth-616),0.2965127298,0.1751624317,,
marvel,Victor Borkowski (Earth-616),0.2714017379,0.2249073082,,
dc,Max Mercury (New Earth),0.2745969885,0.214952162,,
dc,Abigail Arcane (New Earth),0.1481468414,0.9364163115,,
dc,Thomas Haukins (New Earth),1.2608419885,0.3827589192,,
marvel,Edward Leeds (Earth-616),1.2347953716,0.4335650565,,
marvel,Ultron (Earth-616),1.2609823637,0.297912364,,
marvel,Douglas Ramsey (Earth-616),0.2771234722,0.2197546576,,
dc,Travis Morgan (New Earth),1.2445689177,0.3726570258,,
marvel,Quentin Beck (Earth-616),0.3032429827,0.1688691004,,
dc,Gorilla Grodd (New Earth),0.2942463852,0.164549023,,
marvel,Herbert Wyndham (Earth-616),0.2501472572,0.2679608591,,
marvel,Julian Keller (Earth-616),0.2693736621,0.2329645002,,
marvel,Jack Russell (Earth-616),0.2704419987,0.2075357543,,
dc,Patrick Dugan (New Earth),0.269819669,0.2084834599,,
dc,Talia al Ghul (New Earth),1.1725580221,1.0504202733,,
dc,Adam Strange (New Earth),0.271340095,0.2280207533,,
marvel,Celeste Cuckoo (Earth-616),0.1626256413,0.9494471596,,
dc,James Harper Clone (New Earth),0.2490779072,0.2598703381,,
dc,Thomas Kalmaku (New Earth),0.2710478721,0.2262132598,,
marvel,Valentina Allegra de Fontaine (Earth-616),0.1404000153,0.999387372,,
dc,Gabrielle Doe (New Earth),0.1644099544,0.9466048017,,
dc,Henry Hall (New Earth),0.2662805895,0.1775261883,,
marvel,Ophelia Sarkissian (Earth-616),0.1887034575,0.8848642903,,
marvel,Colleen Wing (Earth-616),0.1608817838,0.9565653759,,
marvel,Irma Cuckoo (Earth-616),0.1620146961,0.9521966536,,
dc,Connor Hawke (New Earth),0.2750212971,0.2110925139,,
dc,Cyrus Gold (New Earth),1.276966486,0.3131662864,,
marvel,Sebastian Shaw (Earth-616),0.2407807374,0.2903765986,,
marvel,Phoebe Cuckoo (Earth-616),0.1614998785,0.9512453962,,
dc,Arisia Rrab (New Earth),0.1360129692,0.9108548715,,
dc,Edward Nashton (New Earth),0.2465785516,0.2820768528,,
marvel,Sage (Earth-616),0.1656141066,0.9464596245,,
marvel,Valeria Richards (Earth-616),0.1534887113,0.962190671,,
dc,William Magnus (New Earth),0.2701339482,0.2264688533,,
marvel,Donald Blake (Earth-616),0.252960181,0.2563260577,,
marvel,Hela (Earth-616),1.1729007558,1.047162849,,
marvel,Lilandra Neramani (Earth-616),1.1311619882,1.0966111718,,
marvel,Henry Gyrich (Earth-616),0.2819780751,0.1625360107,,
marvel,Dwayne Taylor (Earth-616),1.2608878922,0.3804998285,,
dc,Mary Batson (New Earth),0.1641287194,0.9435833813,,
dc,Jean Loring (New Earth),1.1671008426,1.0554709135,,
dc,Rita Farr (New Earth),0.1632953488,0.9408357249,,
dc,Grant Emerson (New Earth),1.2559428771,0.3915173648,,
marvel,Harold Hogan (Earth-616),1.2475244914,0.3946412824,,
dc,Jason Rusch (New Earth),0.2767926061,0.2180777553,,
dc,Hector Hall (New Earth),1.2510749827,0.3632801419,,
marvel,Christopher Powell (Earth-616),0.2754152471,0.2149834573,,
dc,Daniel Leong (New Earth),1.2618246359,0.3869597033,,
dc,Jaime Reyes (New Earth),0.2767423934,0.2181599344,,
marvel,Harvey Elder (Earth-616),0.2990395954,0.1592880942,,
marvel,Wolfgang von Strucker (Earth-616),1.2817003072,0.3394256943,,
marvel,Dirk Garthwaite (Earth-616),0.3012752572,0.1650548048,,
dc,Vril Dox II (New Earth),0.2684633901,0.220606174,,
dc,"Roy Raymond, Sr. (New Earth)",0.2696596454,0.2272275029,,
marvel,Pip Gofern (Earth-616),0.2683540045,0.1988645417,,
marvel,Tony Masters (Earth-616),0.2501107131,0.2680831315,,
marvel,David Lieberman (Earth-616),1.2317186092,0.4264996152,,
dc,Uncle Sam (New Earth),0.2669609691,0.2008154665,,
dc,Metron (New Earth),1.2365460283,0.4361155008,,
dc,Lucas Carr (New Earth),0.2955315976,0.1732803152,,
marvel,James Hudson (Earth-616),0.2769587308,0.2177934087,,
dc,Hartley Rathaway (New Earth),0.2659381251,0.2130480752,,
marvel,Miles Warren (Earth-616),0.29616021,0.1506194947,,
marvel,Kallark (Earth-616),0.2455701877,0.2801607345,,
marvel,En Sabah Nur (Earth-616),1.2714456365,0.298067687,,
dc,Lana Lang (New Earth),0.1506127481,0.9328080857,,
dc,Charles Taine (Pre-Zero Hour),0.2764058846,0.2266521047,,
dc,Rose Wilson (New Earth),0.1547549186,0.9269159131,,
dc,DeSaad (New Earth),0.2976567916,0.1791446689,,
marvel,Shiro Yoshida (Earth-616),0.2725159906,0.231946518,,
marvel,Silver Sablinova (Earth-616),1.1410824063,1.0928060613,,
marvel,Elvin Haliday (Earth-616),0.2772141691,0.2191408561,,
dc,Bane (New Earth),0.3006141446,0.1621153166,,
marvel,Calvin Zabo (Earth-616),0.300580724,0.1621309456,,
marvel,Frederick Myers (Earth-616),0.3006277882,0.1620612447,,
marvel,Mantis (Earth-616),0.1635313599,0.9377676149,,
marvel,Marlene Alraune (Earth-616),0.1536156557,0.9619919126,,
marvel,Rachel Leighton (Earth-616),0.1620420308,0.9348834282,,
marvel,Veranke (Earth-616),1.1510594218,1.0713275851,,
marvel,Nathaniel Essex (Earth-616),0.2930182604,0.1275337988,,
dc,Eve Eden (New Earth),0.1394235139,0.9992390169,,
dc,Benjamin Turner (New Earth),0.2517052029,0.2708313257,,
dc,Harleen Quinzel (New Earth),0.1845519157,0.9009232177,,
marvel,Anthony Druid (Earth-616),1.2539179458,0.3826894795,,
marvel,Cassandra Lang (Earth-616),1.1391871274,1.1230083358,,
marvel,Beta Ray Bill (Earth-616),0.2488804566,0.1769236065,,
dc,Mark Mardon (New Earth),0.3027282983,0.1680366829,,
dc,Teth-Adam (New Earth),0.2517209456,0.270768935,,
marvel,Samuel Sterns (Earth-616),1.2713688375,0.2981855418,,
marvel,Leech (Earth-616),0.2604342683,0.160373019,,
dc,Catherine Grant (New Earth),0.1591274238,0.9541720128,,
dc,Terrence Sloane (New Earth),1.2603091102,0.3801988319,,
marvel,Glenn Talbot (Earth-616),1.2233787681,0.4499940384,,
marvel,Bug (Earth-616),0.2544401307,0.167995215,,
marvel,Peter Petruski (Earth-616),0.3026254621,0.165898246,,
marvel,Julie Power (Earth-616),0.1533952184,0.9332401213,,
marvel,Giuletta Nefaria (Earth-616),0.1880418247,0.8820343862,,
dc,Jason Blood (New Earth),0.2614793167,0.2209499057,,
marvel,Robert Ralston (Earth-616),1.2471063173,0.4028881003,,
